Detention,,,,,,,,,,Demurrage,,,,,,,,,
Port Name,Port Code,Line,Export- Import,container type,Standard Free Days,Day Slabs,Charge,Currency,-,Port Name,Port Code,Line,Export- Import,Container type,Standard Free Days,Day Slabs,Charge,Currency,Agent
Abu Dhabi,AEAUH,safmarine,import,Dry 20 st,5,1/5,0,USD,-,Abu Dhabi,AEAUH,safmarine,import,Dry 20 st,5,1/5,0,USD,Saqlaine
-,-,safmarine,-,-,-,6/9,85,USD,-,-,-,safmarine,-,-,-,6/9,85,USD,Saqlaine
-,-,safmarine,-,-,-,10/16,170,USD,-,-,-,safmarine,-,-,-,10/16,170,USD,Saqlaine
-,-,safmarine,-,-,-,day 17 onwards,340,USD,-,-,-,safmarine,-,-,-,day 17 onwards,340,USD,Saqlaine
-,-,safmarine,-,Dry40 & 40HC,5,1/5,0,USD,-,-,-,safmarine,-,Dry40 & 40HC,5,1/5,0,USD,Saqlaine
-,-,safmarine,-,-,-,6/9,170,USD,-,-,-,safmarine,-,-,-,6/9,170,USD,Saqlaine
-,-,safmarine,-,-,-,10/16,340,USD,-,-,-,safmarine,-,-,-,10/16,340,USD,Saqlaine
-,-,safmarine,-,-,-,day 17 onwards,680,USD,-,-,-,safmarine,-,-,-,day 17 onwards,680,USD,Saqlaine
-,-,safmarine,-,20 St. Reefer,3,1/3,0,USD,-,-,-,safmarine,-,20 St. Reefer,3,1/3,0,USD,Saqlaine
-,-,safmarine,-,-,-,4/7,250,USD,-,-,-,safmarine,-,-,-,4/7,250,USD,Saqlaine
-,-,safmarine,-,-,-,8/14,500,USD,-,-,-,safmarine,-,-,-,8/14,500,USD,Saqlaine
-,-,safmarine,-,-,-,15 onwards,1000,USD,-,-,-,safmarine,-,-,-,15 onwards,1000,USD,Saqlaine
-,-,safmarine,-,40 St. Reefer,3,1/3,0,USD,-,-,-,safmarine,-,40 St. Reefer,3,1/3,0,USD,Saqlaine
-,-,safmarine,-,-,-,4/7,500,USD,-,-,-,safmarine,-,-,-,4/7,500,USD,Saqlaine
-,-,safmarine,-,-,-,8/14,1000,USD,-,-,-,safmarine,-,-,-,8/14,1000,USD,Saqlaine
-,-,safmarine,-,-,-,15 onwards,2000,USD,-,-,-,safmarine,-,-,-,15 onwards,2000,USD,Saqlaine
-,-,safmarine,-,-,-,11/14,85,USD,-,-,-,safmarine,-,-,-,11/14,85,USD,Saqlaine
-,-,safmarine,-,-,-,15-21,170,USD,-,-,-,safmarine,-,-,-,15-21,170,USD,Saqlaine
-,-,safmarine,-,-,-,22 onwards,340,USD,-,-,-,safmarine,-,-,-,22 onwards,340,USD,Saqlaine
Abu Dhabi,AEAUH,safmarine,Export,Dry40 & 40HC,10,1/10,0,USD,-,Abu Dhabi,AEAUH,safmarine,Export,Dry40 & 40HC,10,1/10,0,USD,Saqlaine
-,-,safmarine,-,-,-,11/14,170,USD,-,-,-,safmarine,-,-,-,11/14,170,USD,Saqlaine
