Roles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Fields,Co-Author Fields,Port Info,,,,,,General Port Information,,,,,,,,,,Inland Services Data,,Carrier Mapping,Export Data,,,,,,,,Import Data,,,,,,,
Country,Port Name,Author,Co-Author,Port Code,Description,Description edited by Client,Description edited by Pepper,Address,Email,Website,Phone,Fax,Office,Annual Cargo Tonnage,Annual Container Volume,GPS Cordinates,List of Main Containerized Terminals,Major Towns near Seaport,Major nearby CFS,List of Main Shipping Lines serving the port,Country Requirements & Restrictions,Country Requirements & Restrictions- Edited by Pepper,Forms & Certificates,Forms & Certificates- Edited by Pepper,FAQs / Additional Information,FAQs / Additional Information- Edited by Pepper,Key Customs Facts,Key Customs Facts- Edited by Pepper,Country Requirements & Restrictions,Country Requirements & Restrictions- Edited by Pepper,Forms & Certificates,Forms & Certificates- Edited by Pepper,FAQs / Additional Information,FAQs / Additional Information- Edited by Pepper,Key Customs Facts,Key Customs Facts- Edited by Pepper
Ivory Coast,Abidjan,Abhinav,Nahid,CIABJ,"The Autonomous Port of Abidjan is a commercial port at Treichville, in southern Abidjan on the Ivory Coast. It is a transshipment and intermodal facility which is managed as a public industrial and commercial establishment. The Director-General at this port is Hien Sié.","The Autonomous Port of Abidjan is a commercial port at Treichville, in southern Abidjan, Ivory Coast. It is a transshipment and intermodal facility and is managed as a public industrial and commercial establishment; the Director-General is Hien Sié.",,Abidjan Cote D'Ivoire,info@paa-ci.org,http://www.portabidjan.ci/en,21 23 80 00,21 24 80 80,Abidjan Cote D'Ivoire,,"1,500,000 TEUs","5°18'00.0""N 4°00'00.0""W",,"Abidjan, Bingerville, Anyama, Dabou, Alépé, Bonoua, Jacqueville, Agboville, Adiaké, Aboisso, Adzopé, Ayamé, Ndouci, Tiassalé, Affery, Grand-Lahou, Akoupé, Bongouanou, Arrah, Divo
",,"CMA CGM, Hapag-Lloyd, Maersk, MOL, MSC, ZIM","Commercial Invoice: Two copies of the freight invoices in French are required.  
No other specific form is needed, but all invoices must contain the names of the exporter and consignee,  the number and types of packages, marks and numbers on the packages, net and gross weights, CIF value, terms of sale, and a thorough description of the merchandise. ",,"Certificate of Origin: Two certified copies of this are required.
",,,,There are no unique customs formalities at this port. You can reach out to us directly in case of any other queries.,,"Bill of Landing (or air waybill): There are no regulations specifying the content of a bill of landing.  Importers should include clear marks of identification alongside the name and address of the consignee for the goods.  Shipping marks on the goods must correspond exactly with the numbers on the bills of lading or the invoices.

",,Pro-forma Invoice: Persons who wish to import goods are required to attach six copies of this invoice to the application for an import license and/or the intent to import. A pro-forma invoice may also be required when presenting an application to the Ivoirian authorities for shipping bonded goods through the country.,,,,There are no unique customs formalities at this port. You can reach out to us directly in case of any further queries.,
United Arab Emirates,Abu Dhabi,Abhinav,Nahid,AEAUH,"Port Zayed is managed by the Abu Dhabi Sea Port Authority which is an organization of the UAE government. It contains 21 berths and handles about 900 thousand tons of cargo a year. Over 2,000 vessels move through Port Zayed each year. Cargo includes vehicles and bulk, containerized and general cargo. Commodities include grain, processed foods, pharmaceuticals, manufactured and agricultural products.","Port Zayed is managed by the Abu Dhabi Sea Port Authority, an organization of the UAE government. It contains 21 berths and handles about 900 thousand tons of cargo a year. Over 2,000 vessels move through Port Zayed each year. Cargo includes vehicles and bulk, containerized, and general cargo. Commodities include grain, processed foods, pharmaceuticals, and manufactured and agricultural products.",,"Department of Port & Customs Ajman P.O. Box 388, Ajman United Arab Emirates",customerservice@adports.ae,https://www.adports.ae/,971 800 102030,971-2 6730432,"Department of Port & Customs Ajman P.O. Box 388, Ajman United Arab Emirates",12 million tonnes,"905,000 TEUs",,,,,,"In case any cargo is rejected by local authorities (customs, port, health, municipality) or in case of re-export to UAE, prior approval needs to be taken from the destination office by providing local consignee details for final acceptance of booking or loading

Necessary approval must be obtained from competent authorities of the UAE (Ministry of Environment and Water, Customs etc., ) prior to the export/ import or transit of banned waste material. Advance notifications must be submitted to all relevant authorities.

Commodities like charcoal or bitumen are not accepted for export from this port. ",,"You will require copies of the the LOI vehicle certificate, SOC forms, Manual booking form, Manual SI form, IMO form and the lost bill of landing.

",,,,There are no unique customs formalities at this port. You can reach out to us directly in case of any further queries.,,"The consignee/agent must obtain a delivery order from the Shipping Agent and submit original standard trade documentation as mentioned below:

A commercial invoice from the exporter addressed to the importer with details about the quantity, goods description and the total value of each imported item
A certificate of origin, stating the country of origin and approved by the Chamber of Commerce in the country of origin

A detailed packing list including weight, method of packing, and HS code for each item

An import permit from the competent agencies in case of import of restricted goods or duty exempted goods

A bill of entry or airway bill",,"For all food products, the following certificates are required :

Original health certificate issued by the appropriate government agency in the exporting country,  an attestation of the product’s fitness for human consumption
 and an original Halal slaughter certificate particularly for meat and poultry products",,,,There are no unique customs formalities at this port. You can reach out to us directly in case of any further queries.,
India,ACTL Faridabad,Abhinav,Nahid,ICD|CFS|SEZ,"ICD / FARIDABAD better known as ACTL has been a landmark in the development of infrastructure in North India. Facilitation of Export / Import Sea Containers were initially confined to government dry Ports / CFS's. ACTL was the first initiative by the private sector to venture into and successfully carve a niche for itself. It has since been primarily serving the interest of the corporates, international buying houses and sonsolidators.","ICD / FARIDABAD better known as ACTL has been a landmark in the development of infrastructure in North India. Facilitation of Export / Import Sea Containers were till then confined to government dry Ports / CFS's. ACTL was the first initiative by the private sector to venture and successfully carve a niche for itself primarily serving the interest of top of the Corporates, International buying houses and Consolidators.",,"M-26, Main Market, Greater Kailash- II, New Delhi - 110048 India",opsdep@actlindia.com,https://www.actlindia.com/,91(0129)-4259300,,"M-26, Main Market, Greater Kailash- II, New Delhi - 110048 India",,,,,,,,"Hazardous Cargo acceptance

Acceptance of hazardous cargo at ports: 
IMO Class 1 and 7 are not acceptable throughout India.

Out Of Gauge Cargo and 45' Containers:
Out-of-Gauge Cargo is not accepted to or from any inland location in India.
Since containers which are more than 9'6"" high are considered out of gauge (OOG) and cannot be moved by rail or road.
45' containers are also not accepted for movement by rail or road.",,There are no unique forms  or certificates required for this port/country. You can reach out to us directly in case of any further queries.,,,,There are no unique customs formalities for this port. You can reach out to us directly in case of any further queries.,,Capital goods can be imported with a license under the Export Promotion Capital Goods Plan (EPCG) at reduced duty rates but subject to the fulfillment of a time-bound export obligation. ,,"All importers must possess a copy of the L/C to ensure that payment for the import is made.  Normally this document is counter-checked with the issuing bank so that outflow of foreign exchange can also be checked.


If a Bill of Entry is filed without using the Electronic Data Interchange System, the following documents are also generally required:

Signed invoice;
Packing list;
Bill of lading or delivery order/air waybill;
GATT declaration form;
Importer/CHA declaration;
Import license wherever necessary;
Letter of credit/bank draft;
Insurance document;
Industrial license, if required;
Test report in case of chemicals;
Adhoc exemption order;
DEEC Book/DEPB in original, wherever applicable;
Catalogue, technical write up, literature in case of machineries, spares or chemicals as may be applicable;
Separately split up value of spares, components, and machinery;
Certificate of Origin, if preferential rate of duty is claimed.",,"An advance license is issued to allow duty free import of inputs which are physically incorporated in the export product itself with a normal allowance for waste. 
In addition, fuel, oil, energy, catalysts etc. that are used to obtain the export product, may also be allowed under the plan. 
The raw materials/inputs are allowed according to Standard Input-Output Norms (SION) or self-declared norms of the exporter.",,There are no unique customs formalities at this port. You can reach out to us directly in case of any further queries.,
Australia,Adelaide (AUADL),Abhinav,Nahid,AUADL,"The Port of Adelaide is in the capital of South Australia. Lying at the base of the Mount Lofty Range, it is located 12 kilometers inland from the gulf of St. Vincent. It has a Mediterranean climate with mild winters and hot summers. Home to over a million people, the Port of Adelaide is in Australia’s fifth largest city. In 2006, over one million people lived in this metropolitan area.","The Port of Adelaide is the capital of South Australia. Lying at the base of the Mount Lofty Range, it is located 12 kilometers inland from the Gulf St. Vincent. It has a Mediterranean climate with mild winters and hot summers. Home to over a million people, the Port of Adelaide is Australia’s fifth largest city. In 2006, over one million people lived in the metropolitan area.",,"296 St Vincent Street
Port Adelaide, South Australia 5015
Australia",flindersports@flindersports.com.au,www.flindersports.com.au,61 8 8447 0611,61 8 8447 0606,"296 St Vincent Street
Port Adelaide, South Australia 5015
Australia",10 million tons of cargo,,"34°51'00.0""S 138°30'00.0""E",,"Adelaide, Gawler, Mount Barker, Murray Bridge, Victor Harbor, Port Pirie, Whyalla, Port Lincoln, Port Augusta, Mildura, Mount Gambier, Horsham, Broken Hill, Hamilton, Stawell, Flinders, Swan Hill, Portland, Ararat, Warrnambool",,"APL, CMA CGM, Hamburg Sud, Hapag-Lloyd, Maersk, MOL, MSC, NYK, OOCL",There are no unique country requirements or restrictions at this port.You can reach out to us directly in case of any further queries.,," Settlement of ""Collect"" freight charges (if any), original bills of landing and the company stamp or endorsement are required",,,,There are no unique customs formalities at this port. You can reach out to us directly in case of any further queries.,,"The import of live animal in Australia is not accepted by Maersk Line.

Tree bark is a prohibited import in Australia. If timber has been used in the container, a declaration has to be made to state that it has been inspected and deemed to be free of any bark.",,The consignee is must lodge an Import Declaration with the Customs department for full containers.,,,,There are no unique customs formalities at this port. You can reach out to us directly in case of any further queries.,
Yemen,Aden (YEADE),Abhinav,Nahid,YEADE,The Port of Aden lies on the northern coast of the Gulf of Aden on the Little Aden peninsula that encloses western side of the Al-Tawahi Harbour in Yemen. It is almost 200 kilometers southeast of the Port of Mokha and about 127 nautical miles northeast of the Port of Djibouti.,Port of Aden. The Port of Aden lies on the northern coast of the Gulf of Aden on the Little Aden peninsula that encloses western side of the Al-Tawahi Harbour in Yemen almost 200 kilometers southeast of the Port of Mokha and about 127 nautical miles northeast of the Port of Djibouti,,"1316 Tawahi, Aden, Yemen",Info@portofaden.net,http://www.portofaden.net,9672 202666/8,9672 205805,"1316 Tawahi, Aden, Yemen",15.2 million tons,1 million TEUs,"12°48'00.0""N 44°54'00.0""E",,,,"APL, Evergreen, K Line, MSC",There are no unique country requirements or restrictions at this port.You can reach out to us directly in case of any further queries.,,You do not need any additional forms or certificates for this port. You can reach out to us for any further queries.,,,,There are no unique customs formalities required at this port. You can reach out to us directly in case of any further queries.,,"The import of live animal in Australia is not accepted by Maersk Line.

Tree bark is a prohibited import in Australia. If timber has been used in the container, a declaration has to be made to state that it has been inspected and deemed to be free of any bark.",,No particular forms or certificates required at this port.You can reach out to us directly in case of any further queries.,,,,There are no unique customs formalities at this port. You can reach out to us directly in case of any further queries.,
Saudi Arabia,Al Jubail,Abhinav,Nahid,SAJUB,"The Jubail Commercial Port (also spelled Jubayl) lies on the eastern central coast of Saudi Arabia on the Arabian Gulf . It is about 14 kilometers southeast of the King Fahd Industrial Port in Jubail. For information about the history of the port, cruising and travel in the city of Jubail and the US Department of State information for US travelers, please refer to the World Port Source article for the King Fahd Industrial Port.","The Jubail Commercial Port (also spelled Jubayl) lies on the eastern central coast of Saudi Arabia on the Arabian Gulf about 14 kilometers southeast of the King Fahd Industrial Port in Jubail. For information about the history of, cruising and travel in the city of Jubail, and US Department of State information for US travelers, please refer to the World Port Source article for the King Fahd Industrial Port.",,"P.O. Box 276, Jubail, Saudi Arabia",,www.ports.gov.sa,966-3-3620600,966-3-3613337,"P.O. Box 276, Jubail, Saudi Arabia",7.78 million tons,75.6 thousand TEUs,"

27°04'00.0""N 49°40'00.0""E",,"Safwah, Tarut, Sayhat, Buqayq, Riyadh, Buraydah, Sakakah, Mecca, Turayf, Najran, Jiddah, Abha, Umm Lajj, Tabuk, Sabya, Jizan",,"CMA CGM, MSC","Export LCL shipments are not allowed at this port.

Recovery of Handling Exports have to be paid in Saudi Arabia

Cross Trade Shipment:

The following information and documents are required:
1. Local Saudi Party Involved
2. CR Copy (Chamber of Commerce registration)
3. The responsible party for detention charges is to be advised
4. Product ETA should be 9 days +


Commodity :

There are no restrictions imposed on local cargo exported from Saudi Arabia. However, all export cargo is subject to inspection from customs.

Lubricants & Bitumen are not accepted in flexi-bags or flexi-tanks.


Countries banned for Export: 

Israel
NOT accepted: Cargo originating from and/or destined for Israel.

Qatar
NOT accepted: Cargo originating from and/or destined for Qatar
(This is effective from 6 July, 2017)",,Foodstuff validity period and ingredients should be labeled in Arabic and in accordance with Saudi or GCC specifications.,,Saudi Arabia has removed its export ban on all scrap metals and no longer applies export duties on these products.,,"

The export procedure is as follows:

Shipping Instructions: Cut-off is at least 10 days prior to arrival of vessel

Manifest: Cut-off is 8-7 days prior to arrival of vessel

EDI: Customs system must be updated in Arabic as per the information provided in the English manifest

Bayan: Document is to be issued by customs after updating the EDI to gate-in the containers; the cut-off is 48 hours prior to vessel arrival

Load permit:  This isprovided by the terminal to allow loading of the containers.
",,"Any cargo containing alcohol, drugs, pork, pornographic articles, political and religious literature or products (such as Christmas trees, liquor chocolates) and Israeli goods are not allowed to be discharged, loaded or transshipped at any Saudi ports. 
IMO cargo (class 1, class 7) and military cargo consigned to Saudi Arabia cannot be loaded, unless an approval is received from the Saudi OPS dept.",,There are no other unique forms  or certificates required for this port.You can reach out to us directly in case of any further queries.,,,,There are no unique customs formalities at this port. You can reach out to us directly in case of any further queries.,
Libya,AL Khoms (LYKHO),Abhinav,Nahid,LYKHO,"Khoms (also written as Homs) is located about 120km east of the capital Tripoli, and close to the legendary Leptis Magna. Products handled through this port include cars and containers. Vessels arriving here should have a clean Bill of Health from the last port of call; and all crew must posesses a smallpox vaccination certificate. 
Tobacco products, alcoholic drinks, perfume, arms and ammunition have to be locked up under customs seal until the shipment leaves territorial waters.","Khoms (also occasionally found written as Homs) is located about 120km east of the capital Tripoli, and close to legendary Leptis Magna. (Products handled through this port include cars and containers. Vessel should have a clean Bill of Health from the last port of call; and all crew must show smallpox vaccination certificate. Tobacco products, alcoholic drinks, perfume, arms and ammunition have to be locked up under customs seal until time of leaving territorial waters.",,"	PO Box 18342
Misratah
Libya",,www.amtcmar.com/en/ports.htm,218 21 43946,218 21 43946,"	PO Box 18342
Misratah
Libya",,,,,,,,There are no unique country requirements  or restrictions at this port.You can reach out to us directly in case of any further queries.,,There are no unique forms  or certificates required at this port/country. You can reach out to us directly in case of any further queries.,,,,There are no unique customs formalities at this port. You can reach out to us directly in case of any further queries.,,"The following products are prohibited at this port:

• Illegal drugs
• Weapons, explosives and ammunition – including toy guns
• Knives and deadly weapons
• Pork and pork products
• Plant and plant products – unless permission has been obtained
• Pets and animals – unless permission has been obtained
• Mineral water
• Tea and Coffee
• Oriental rugs
• Luxury cars
• Furs
• Counterfeit money and goods
• Pornographic material

• All alcohol and alcoholic beverages are also banned from entry.

The following restrictions also apply:

• Any display signs, tickets or cards being imported and displayed inside the country will have to be written in Arabic in order to be admitted.
• Fresh egg imports must be stamped with the name of the exporting company and with the name of the country of origin as well as the date of production.  
• All goods of Israeli origin are completely banned from entering the country.",,"• Plant and plant products entering the country will require a plant quarantine certificate. Insecticides may be imported only with a permit obtained from the Secretariat of Agriculture and Agrarian Reform’s Plant Protection Department.

• Cats and dogs being imported into Libya will need to have two veterinary health certificates from the country of origin as well as a rabies vaccination certificate.",,,,There are no unique customs formalities at this port. You can reach out to us directly in case of any further queries.,
Egypt,Alexandria (EGALY),Abhinav,Nahid,EGALY,The Port of Alexandria is on the West Verge of the Nile Delta between the Mediterranean Sea and Mariut Lake in Alexandria. It is considered to be the second most important city and the main port in Egypt. The port of Alexandria consists of two harbours separated by a T-shaped peninsula.,"The Port of Alexandria is on the West Verge of the Nile Delta between the Mediterranean Sea and Mariut Lake in Alexandria, Egypt and is considered the second most important city and the main port in Egypt. Alexandria port consists of two harbours separated by a T-shaped peninsula",,106 El Horria Avenu- Alex Fouad St.Alex Alexandria 26514 Egypt,support@apa.gov.eg,http://apa.gov.eg/,203-4843532/4843534/4843538,203 4869714,106 El Horria Avenu- Alex Fouad St.Alex Alexandria 26514 Egypt,"1,76,27,762","14,42,712","31°08'00.0""N 29°49'00.0""E",,"Alexandria, Rosetta, Fowa, Tanta, Tala, El Mahalla el Kubra, Aja, Talkha, Benha, Diyarb Najm, Dekernes, Qalyub, Hihya, Cairo, Gizeh, Madinat Sittah Uktubar, Damietta, El Faiyûm, Port Said, El Wasta",,"CMA CGM, Hamburg Sud, Hanjin, Hapag-Lloyd, Maersk, MSC, ZIM","Deadline for any amendment in the bill of landing, cargo destination, cargo weight etc. is 3 days prior to vessel arrival in order to avoid customs fines.",,There are no unique forms or certificates required for this port/country. You can reach out to us directly in case of any further queries.,,,,There are no unique customs formalities for this port. You can reach out to us directly in case of any further queries.,,"Used computer monitors/accessories that were produced before the year 2009 will not be allowed into the country by the Egyptian customs, and the cargo will be rejected.

Breakbulk is also not accepted.",,All consignments bound to Egypt must have an Egyptian recipient otherwise the cargo will be subject to a customs fine of USD 250.,,"Radio-active check applies for the following commodities - food stuff, plants, agricultural products, raw material, scrap and used auto spare which are loaded from China,HongKong, North Korea, Taiwan or Soutth Korea

Both prepaid and collect freight are accepted in USD and Euros .",,There are no unique customs formalities for this port. You can reach out to us directly in case of any further queries.,
Spain,Algeciras (ESALG),Abhinav,Nahid,ESALG,The port of Algeciras is an important harbour for exports and is the premier international shipping gateway to Spain. It rests towards the north of the southernmost town in the Iberian Peninsula and is the 16th busiest port in the world.,The port of Algeciras is an important harbour for exports products and is the premier international shipping gateway to Spain. It rests towards the north of the southernmost town in the Iberian Peninsula and is 16th busiest port in the world.,,"Paseo de la Conferencia, s/n, Algeciras 11207, Spain",apba@apba.es,www.apba.es,34 956 58 54 00,34 956 58 54 43,"Paseo de la Conferencia, s/n, Algeciras 11207, Spain",53.8 million tons,4.76 million TEU,"36°08'51.7""N 5°24'01.8""E",,"Felanitx, Manacor, Mahón, Palma, Marratxi, Inca, Calviá, Alcudia, Santa Eulalia del Río, Sóller, Altea, Denia, Benidorm, Santa Pola, Oliva, Torrevieja, San Pedro del Pinatar, La Unión, Pilar de la Horadada, Gandía",,"APL, CMA CGM, Maersk, ZIM","Companies doing business in the EU or companies exporting to the EU (i.e. Authorized Economic Operators) need an Economic Operator Registration and Identification number (EORI) for Customs Declarations and to apply for Authorized Economic Operator status.  
Once a company has an EORI it will be valid throughout the EU and this is expected to expedite customs processing.",,There are no unique forms or certificates required for this port/country. You can reach out to us directly in case of any further queries.,,"It is important to have precise descriptions for easy customs clearance. The goods should be described in a manner whereby anyone can understand it. A clear description always answers three main questions: what the product is, what it is for and what it is made of. ",,There are no unique customs formalities for this port. You can reach out to us directly in case of any further queries.,,"Import Authorization: (Autorización Administrativa de Importación) AAI is used to control imports, subject to quotas. Although there are no quotas against U.S. goods, this document may still be required if part of the shipment contains goods produced or manufactured in a third country. For goods of U.S.-origin, the document is used for statistical purposes or national security.",,"A copy of the commercial invoice is required with the shipment to avoid delays in customs clearance.

Prior notice of imports: (Notificación previa de importación) is needed for merchandise that circulates in the EU Customs Union Area but is controlled for statistical purposes. The importer must obtain the document and present it to the General Registrar.
",,"Importers may apply for import licenses at the Register of Spain's Secretariat of Commerce or at any of its regional offices. A commercial invoice that includes freight and insurance, C.I.F. price, net and gross weight and an invoice number must be attched to this license application. 
Customs accepts commercial invoices by fax. The license, once granted, is normally valid for six months, but may be extended for justified reasons.",,There are no unique customs formalities for this port. You can reach out to us directly in case of any further queries.,
Algeria,Algiers (DZALG),Abhinav,Nahid,DZALG,"The Port of Algiers (El-Jazair in Arabic) is the main seaport of Algeria in northern Africa. Built on the slopes of the Sahel Hills, Port of Algiers stretches for ten miles along the Bay of Algiers. The Port of Algiers is located about half-way between the Port of Dellys to the east and the Port of Cherchell to the west on the shores of the Mediterranean Sea. Its name comes from the Arabic word al-jaza'ir, meaning ""the islands.""","The Port of Algiers (El-Jazair in Arabic) is the capital and main seaport of Algeria in northern Africa. Built on the slopes of the Sahel Hills, Port of Algiers stretches for ten miles along the Bay of Algiers. The Port of Algiers is located about half-way between the Port of Dellys to the east and the Port of Cherchell to the west on the shores of the Mediterranean Sea. Its name comes from the Arabic word al-jaza'ir, meaning ""the islands."" In 2004, almost 1.8 million people lived in the Port of Algiers.",,"02 Rue d'Angkor BP 259 Algiers, Gare 259 Algeria",epal@portalger.com.dz,www.portalger.com.dz,213 21 423614,213 21 423603,"02 Rue d'Angkor BP 259 Algiers, Gare 259 Algeria",,,"36°45'00.0""N 3°03'00.0""E",,"Algiers, Médéa, Tigzirt, Timizart, Birin, Tazmalt, Sidi Ali, Aflu, Constantine, Wahran, Tuggurt, Warqla, Adrar",,"MSC",There are no unique country requirements or restrictions for this port.You can reach out to us directly in case of any further queries.,,There are no unique forms or certificates needed for this port.You can reach out to us directly in case of any further queries.,,,,There are no unique customs formalities for this port. You can reach out to us directly in case of any further queries.,,"Firearms, explosives, narcotics, close to 260 pharmaceutical products , some categories of simple medical equipment and all types of used equipment are banned from entry into Algeria. Pork products are also prohibited for religious reasons.

Only foods with eighty percent of their shelf life remaining are allowed into this port. While specific regulations exist for a few products, the vast majority of products must conform with the standards defined primarily in the Codex Alimentarius.

Meat of U.S.-origin is prohibited because of high hormone content.",,"The Ministry of Health requires distributors to obtain authorizations to import and sell drugs. Drugs must have been marketed in their country of origin, as well as in a third country, before they are imported into Algeria.",,"Phyto-sanitary and sanitary control regulations are in place.  As a rule, animal and plant products that might carry disease cannot be imported. ",,There are no unique customs formalities for this port. You can reach out to us directly in case of any further queries.,
